"Action","Handling"
"Add New Template","Tilføj Ny Skabelon"
"Add to Queue","Føj til kø"
"Allow Guest Subscription","Tillad Gæst Abonnement"
"An error occurred while saving your subscription.","Der opstod en fejl under lagring af dit abonnement."
"Back","Tilbage"
"Be the first to know about new arrivals, special offers, and insider news.","Vær den første til at vide om nye ankomster, særtilbud og insidernyheder."
"Cancel","Annuller"
"Cancelled","Annulleret"
"Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first.","Kan ikke slette denne skabelon. Den bruges i øjeblikket af %d e-mail automation sekvens. Venligst gentildele eller slette disse sekvenser først."
"Cannot mark as received subscriber.","Kan ikke markere som modtaget abonnent."
"Confirmation Email Sender","Bekræftelse E-Mail Afsender"
"Confirmation Email Template","Bekræftelse Email Skabelon"
"Confirmation request has been sent.","Bekræftelsesanmodning er blevet sendt."
"Convert to Plain Text","Konvertér til almindelig tekst"
"Coupon Code","Kupon Kode"
"Coupon Expiration Date (Formatted)","Kupon Udløbsdato (Formateret)"
"Coupon Expiration Date (Raw)","Kupon Udløbsdato (Rå)"
"Coupon Rule Description","Kupon Regel Beskrivelse"
"Create Newsletter Template","Opret Nyhedsbrev Skabelon"
"Customer","Kunde"
"Customer Email","Kunde E-Mail"
"Customer First Name","Kunde Fornavn"
"Customer Last Name","Kundens Efternavn"
"Customer Middle Name","Kunde Mellemnavn"
"Customer My Account Newsletter Subscriptions","Kunde Min Konto Nyhedsbrev Abonnementer"
"Customer Name","Kunde Navn"
"Customer Name (Object)","Kundens Navn (Objekt)"
"Customer Segments","Kunde Segmenter"
"Customer Variables","Kunde Variabler"
"Date Added","Dato Tilføjet"
"Date Updated","Dato Opdateret"
"Default Template","Standard Skabelon"
"Delete","Slet"
"Delete Selected Problems","Slet Valgte Problemer"
"Delete Template","Slet Skabelon"
"Do you really want to cancel the queue?","Vil du virkelig annullere køen?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Rediger Nyhedsbrev"
"Edit Newsletter Template","Rediger Nyhedsbrev Skabelon"
"Edit Queue","Rediger Kø"
"Edit Template","Rediger Skabelon"
"Email","E-mail"
"Email Automation Variables","Email Automatisering Variabler"
"Error Code","Fejlkode"
"Error Text","Fejl Tekst"
"Follow this link to unsubscribe:","Følg dette link for at afmelde:"
"Guest","Gæst"
"ID","ID"
"Insert Variable...","Indsæt Variabel..."
