"-- None --","-- Nessuno --"
"Adds aggregateRating (rating value and review count) and individual review nodes (reviewer name and review text) to the product schema when reviews are enabled.","Aggiunge aggregateRating (valore di valutazione e numero di revisioni) e singoli nodi di revisione (nome del revisore e testo di revisione) allo schema del prodotto quando le recensioni sono abilitate."
"Automatic (from Right of Withdrawal settings)","Automatico (da destra delle impostazioni di recesso)"
"Automatic emits a finite return window from the Right of Withdrawal settings when that feature is enabled, and nothing otherwise. Never advertise a policy the store does not honor.","Automatico emette una finestra di ritorno finita dalle impostazioni di diritto di recesso quando quella funzione è abilitata e niente altrimenti. Non pubblicizzare mai una politica il negozio non onora."
"Brand Attribute","Attributo Marca"
"Condition Attribute","Attributo Condizione"
"Countries the return policy applies to. Leave empty to use the merchant country, or the shipping origin country when the merchant country is not set.","I paesi a cui si applica la politica di rimpatrio. Lasciare vuoto per usare il paese del commerciante, o il paese di origine del trasporto quando il paese del commerciante non è impostato."
"Customer Pays Return Shipping","Customer Pays Return Shipping"
"Days between order and shipment. Both minimum and maximum are needed to emit handlingTime.","Giorni tra ordine e spedizione. Sono necessari sia il minimo che il massimo per emettere la maneggevolezzaTempo."
"Days between shipment and delivery. Both minimum and maximum are needed to emit transitTime.","Giorni tra la spedizione e la consegna. Sia minimo che massimo sono necessari per emettere il tempo di transito."
"Do Not Emit","Non Emettere"
"Enable Structured Data","Abilita Dati Strutturati"
"Finite Return Window","Finite Finite Reso Finito"
"Flat shipping rate in base currency for the schema.org shippingDetails node. Leave empty to derive the rate from the active Flat Rate and Free Shipping carriers. Destination countries come from the carrier and store shipping country settings.","Flat shipping rate in base currency for the schema.org shippingDetails node. Lasciare vuoto per ricavare la tariffa dai vettori Flat Rate e Free Shipping attivi. I paesi di destinazione provengono dal vettore e memorizzare le impostazioni del paese di spedizione."
"Free Return","Reso Gratuito"
"GTIN Attribute","Attributo GTIN"
"Handling Time Maximum (days)","Tempo Di Gestione Massimo (Giorni)"
"Handling Time Minimum (days)","Tempo Di Gestione Minimo (Giorni)"
"Include Ratings & Reviews","Includi Valutazioni E Recensioni"
"Local Business","Business Locale"
"MPN Attribute","Attributo MPN"
"Online Store","Negozio Online"
"Organization","Organizzazione"
"Organization Type","Tipo Di Organizzazione"
"Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>.","Produce dati strutturati <strong>JSON-LD</strong> seguendo le esigenze di schema.org e Google, consentendo risultati ricchi per prodotti, breadcrumbs, informazioni sull'organizzazione e ricerca del sito. Convalida le tue pagine con la <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>."
"Product attribute holding the Global Trade Item Number (UPC/EAN/ISBN).","Attributo prodotto contenente il Global Trade Item Number (UPC/EAN/ISBN)."
"Product attribute holding the item condition (new, refurbished, used, damaged). Products without a value are emitted as new.","Attributo prodotto contenente la condizione dell'articolo (nuovo, rinnovato, utilizzato, danneggiato). I prodotti senza valore vengono emessi come nuovi."
"Product attribute holding the Manufacturer Part Number.","Attributo prodotto contenente il numero della parte del fabbricante."
"Product attribute used for the schema.org ""brand"" property.","Attributo prodotto utilizzato per la proprietà schema.org ""brand""."
"Product Schema","Schema Prodotto"
"Return at Kiosk","Ritorna al chiosco"
"Return by Mail","Ritorno per posta"
"Return Countries","Paesi Di Ritorno"
"Return Fees","Tasse Di Ritorno"
"Return in Store","Ritorna nel negozio"
"Return Method","Metodo Di Restituzione"
"Return Policy","Politica Di Ritorno"
"Return Policy Type","Tipo Politica Di Reso"
"Returns Not Permitted","Restituzioni Non Permesse"
"Return Window (days)","Finestra Di Restituzione (Giorni)"
"Shipping Details","Dettagli Spedizione"
"Shipping Rate","Tasso Di Spedizione"
"Structured Data (schema.org)","Dati Strutturati (schema.org)"
"Transit Time Maximum (days)","Tempo Di Transito Massimo (Giorni)"
"Transit Time Minimum (days)","Tempo Di Transito Minimo (Giorni)"
"Unlimited Return Window","Finestra Di Restituzione Illimitata"
