"Action","Azione"
"Allow New Accounts via Social Sign-In","Consenti nuovi account tramite l'accesso sociale"
"Apple Service ID","ID Servizio Apple"
"Connected Accounts","Account Connessi"
"Connected On","Connesso Il"
"Continue with Apple","Continua con Apple"
"Continue with Facebook","Continua con Facebook"
"Create an app in the Meta developer portal, enable Facebook Login for the Web, and add your store domain to the allowed domains.","Crea un'app nel portale Meta developeror, abilita Facebook Login per il Web e aggiungi il dominio del tuo negozio ai domini consentiti."
"Create a Service ID in the Apple Developer portal. Register your store domain and add https://yourstore.com/customer/social/login as a return URL.","Crea un ID di Servizio nel portale Apple Developer. Registra il dominio del tuo negozio e aggiungi https://yourstore.com/customer/social/login come URL di ritorno."
"Creating new accounts with social sign-in is not allowed. Please register first.","La creazione di nuovi account con accesso sociale non è consentita. Si prega di registrarsi prima."
"Customer Connected Accounts","Account Connessi Cliente"
"Customers sign in with the Google Identity Services button. Create an OAuth client ID in the Google Cloud Console and add your store origin to the authorized JavaScript origins.","I clienti accedono con il pulsante Google Identity Services. Crea un ID client OAuth nella console Google Cloud e aggiungi l'origine del tuo negozio alle origini JavaScript autorizzate."
"Email","Email"
"Enable Facebook Login","Abilita Accesso A Facebook"
"Enable Google One Tap","Abilita Google One Tap"
"Enable Google Sign-In","Abilita Google Sign-In"
"Enable Sign in with Apple","Abilita l'accesso con Apple"
"Facebook App ID","Facebook App ID"
"Facebook App Secret","Facebook App Secret"
"Failed Attempts Allowed per IP per Hour","Tentativi consentiti per IP per ora falliti"
"Google Client ID","Google Client ID"
"How long an issued sign-in nonce stays valid. Values below 60 seconds are raised to 60.","Per quanto tempo rimane valido un abbonamento emesso. Valori inferiori a 60 secondi vengono portati a 60."
"How many failed social sign-in attempts one IP address can make per hour. Set 0 to disable the limit.","Quanti tentativi di accesso sociale falliti possono fare un indirizzo IP per ora. Impostare 0 per disabilitare il limite."
"Invalid authentication token.","Token di autenticazione non valido."
"Invalid form key. Please refresh the page and try again.","Chiave modulo non valida. Si prega di aggiornare la pagina e riprovare."
"Linked Sign-In Providers","Fornitori Di Accesso Collegati"
"or","o"
"Please complete the required fields of your profile.","Si prega di completare i campi obbligatori del tuo profilo."
"Provider","Provider"
"Provider Email","Email Fornitore"
"Shows the One Tap prompt to returning Google users on the login and register pages.","Mostra il prompt One Tap per restituire gli utenti di Google sulle pagine di login e registrarli."
"Sign-in failed. Please try again later.","Accesso non riuscito. Riprova più tardi."
"Sign-In Nonce Lifetime (Seconds)","Durata Nonce Accedi (Secondi)"
"Sign-in verification is temporarily unavailable. Please try again later.","La verifica dell'accesso è temporaneamente non disponibile. Riprova più tardi."
"Social Login","Accesso Sociale"
"The linked customer account no longer exists.","L'account cliente collegato non esiste più."
"The sign-in provider could not be unlinked.","Il provider di accesso non può essere scollegato."
"The sign-in provider has been unlinked.","Il provider di accesso è stato scollegato."
"This account is not active.","Questo account non è attivo."
"This customer has no linked sign-in providers.","Questo cliente non ha nessun provider di accesso collegato."
"This sign-in method is not available.","Questo metodo di accesso non è disponibile."
"Too many attempts. Please try again later.","Troppi tentativi. Riprova più tardi."
"Unknown sign-in provider.","Provider di accesso sconosciuto."
"Unlink","Scollega"
"When disabled, only customers with an existing account can sign in with a social provider.","Se disabilitato, solo i clienti con un account esistente possono accedere con un social provider."
"You can sign in with these connected providers.","È possibile accedere con questi provider connessi."
"You have no connected sign-in providers.","Non hai nessun provider di accesso connesso."
"Your account has been created.","Il tuo account è stato creato."
"Your sign-in attempt has expired. Please try again.","Il tuo tentativo di accesso è scaduto. Riprova."
