"* Required Fields","* Campos obrigatórios"
"-- Please Select --","-- Por favor selecione --"
"0 = never expires. Can be overridden per product.","0 = nunca expira. Pode ser sobrescrito por produto."
"Action","Acão"
"Active","ativo"
"Add a message...","Adicione uma mensagem..."
"Add New Gift Card","Adicionar novo cartão presente"
"Admin Comment","Comentário do Administrador"
"A gift card cannot be moved to websites with a different base currency.","Um vale-presente não pode ser movido para sites com uma moeda base diferente."
"A gift card can only be assigned to websites that share the same base currency.","Um cartão de presente só pode ser atribuído a sites que compartilham a mesma moeda base."
"A gift card must be associated with at least one website.","Um vale-presente deve ser associado a pelo menos um site."
"Allow Gift Message","Permitir Mensagem de Presente"
"Allow Message","Permitir mensagem"
"All Websites","Todos os sites"
"Amount","Quantidade"
"Amount Range","Intervalo de valor"
"An error occurred. Please try again.","Ocorreu um erro. Por favor, tente novamente."
"Applied Gift Cards:","Cartão de presente aplicado:"
"Apply","Aplicar"
"Apply Gift Card","Solicitar cartão presente"
"Applying...","Aplicando..."
"Balance","Saldo"
"Balance: %s","Saldo: %s"
"Balance After","Saldo após"
"Balance Before","Saldo Antes"
"Balance for %s","Saldo para %s"
"Can be overridden per product.","Pode ser sobrescrito por produto."
"Cannot apply gift card.","Não é possível aplicar vale-presente."
"Cannot remove gift card.","Não é possível remover cartão de presente."
"Card Type","Tipo de cartão"
"Check","Verificar"
"Check Balance","Verificar Saldo"
"Check Gift Card Balance","Verificar saldo do cartão presente"
"Checking...","Verificandochar@@0"
"Code","Código"
"Code Length","Comprimento do código"
"Code Prefix (e.g., GC)","Prefixo do código (ex. GC)"
"Comma-separated values (e.g., 25,50,100)","Valores separados por vírgulas (por exemplo, 25,50,100)"
"Created","Criado"
"Created %d gift card product(s): %s","Criado em %d produto(s) para cartão de presente: %s"
"Created At","Criado em"
"Create Gift Card Products","Criar produtos de cartão presente"
"Current Balance","Saldo atual"
"Current balance:","Saldo atual:"
"Custom Amount","Quantidade personalizada"
"Customer Gift Card Balance","Saldo do cartão cliente"
"Date","Encontro"
"Default: %s","Padrão: %s"
"Default Expiry (days)","Expiração Padrão (dias)"
"Delete","excluir"
"Delete Gift Card","Excluir o cartão presente"
"Disabled","Desabilitado"
"Edit","Alterar"
"Edit Gift Card '%s'","Editar cartão de presente '%s'"
"Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment.","Edite isto para ajustar manualmente o saldo. Use ""Comentário Admin"" para explicar o ajuste."
"Email Sender","Remetente do e-mail"
"Email Settings","Configurações de e-mail"
"Email Template","Modelo De E-Mail"
"Enable Gift Cards","Habilitar cartões-presente"
"Enter gift card code","Insira o código do cartão presente"
"Enter the code printed on your gift card to view the current balance and expiry date.","Insira o código impresso no seu vale-presente para visualizar o saldo atual e a data de validade."
"Error generating gift card PDF: %s","Erro ao gerar cartão de presente PDF: %s"
"Expired","Expirado"
"Expires","Expira"
"Expires:","Expira:"
"Expires At","Expira em"
"Fixed + Range","Fixo + Alcance"
"Fixed Amount(s)","Valor(es) Fixo(s)"
"Fixed Amounts","Valores Fixos"
"From","De"
"From:","De:"
"General","Gerais"
"Gift Card","Cartão presente"
"Gift card ""%s"" has been fully used.","Cartão de presente ""%s"" foi totalmente utilizado."
"Gift card ""%s"" has expired.","Cartão de presente ""%s"" expirou."
"Gift card ""%s"" is already applied.","Cartão de presente ""%s"" já está aplicado."
"Gift card ""%s"" is not active.","Cartão de presente ""%s"" não está ativo."
"Gift card ""%s"" is not valid.","O cartão de presente ""%s"" não é válido."
"Gift card ""%s"" is not valid for this website.","Cartão de presente ""%s"" não é válido para este site."
"Gift card ""%s"" was applied.","Cartão de presente ""%s"" foi aplicado."
"Gift card amount cannot be less than %s","Quantidade de cartão presente não pode ser inferior a %s"
"Gift card amount cannot be more than %s","Quantidade de cartão presente não pode ser maior do que %s"
"Gift Card Balance","Saldo do cartão presente"
"Gift Card Code","Código do cartão presente"
"Gift Card History","Histórico do cartão presente"
"Gift Card Information","Informações do cartão presente"
"Gift card is not associated with any website.","Cartão de presente não está associado a nenhum site."
"Gift card not found.","Cartão de presente não encontrado."
"Gift Card Notification Email","E-mail de notificação do cartão presente"
"Gift Card Options","Opções de cartão presente"
"Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first.","Os produtos de cartão de presente não podem ser adicionados quando um código de cartão de presente é aplicado. Remova o código de cartão de presente primeiro."
"Gift Cards","Cartões de presente"
"Gift cards cannot be used to purchase gift card products.","Os cartões de presente não podem ser usados para comprar produtos de cartão de presente."
"Gift Cards Configuration","Configuração de cartões presente"
"Gift Card Transaction History","Histórico de Transações de Cartão de Presente"
"Gift card was removed.","Cartão de presente foi removido."
"Gift Certificates","Certificados de presente"
