"Action","Aktion"
"Are you sure you want to restore this version? The current content will be saved as a new version first.","Sind Sie sicher, dass Sie diese Version wiederherstellen möchten? Der aktuelle Inhalt wird zuerst als neue Version gespeichert."
"Back","Zurück"
"Blog module is not enabled.","Blog-Modul ist nicht aktiviert."
"Blog Post","Blogbeitrag"
"CMS Block","CMS Block"
"CMS Page","CMS-Seite"
"Content has been restored from version. The previous state was saved as a new version.","Der Inhalt wurde von der Version wiederhergestellt. Der vorherige Status wurde als neue Version gespeichert."
"Content Version History","Versionsgeschichte des Inhalts"
"Content Versioning","Content Versioning"
"Date","Datum"
"Delete versions older than this many days. Set to 0 for unlimited.","Lösche Versionen, die älter als diese viele Tage sind. Auf 0 setzen für unbegrenzt."
"Editor","Redakteur"
"Maximum number of versions to keep per entity. Set to 0 for unlimited.","Maximale Anzahl an Versionen, die pro Entität gehalten werden. Auf 0 setzen für unbegrenzt."
"Max Version Age (Days)","Max. Versionszeitalter (Days)"
"Max Versions Per Entity","Max. Versionen pro Einheit"
"No versions available. Versions are created when content is saved.","Keine Versionen verfügbar. Versionen werden beim Speichern von Inhalten erstellt."
"No version specified.","Keine Version angegeben."
"Preview","Vorschau"
"Restore","Wiederherstellen"
"Snapshot Data","Snapshot-Daten"
"Source entity not found.","Quellentität nicht gefunden."
"Version","Version"
"Version %s","Version %s"
"Version Details","Versionsinformationen"
"Version not found.","Version nicht gefunden."
"Versions","Versionen"
