"Action","Aktion"
"Allow New Accounts via Social Sign-In","Neuen Konten über soziale Anmeldung erlauben"
"Apple Service ID","Apple-Service-ID"
"Connected Accounts","Verbundene Konten"
"Connected On","Verbunden am"
"Continue with Apple","Mit Apple fortfahren"
"Continue with Facebook","Mit Facebook fortfahren"
"Create an app in the Meta developer portal, enable Facebook Login for the Web, and add your store domain to the allowed domains.","Erstellen Sie eine App im Meta-Entwicklerportal, aktivieren Sie Facebook Login für das Web und fügen Sie Ihre Shop-Domain zu den zugelassenen Domains hinzu."
"Create a Service ID in the Apple Developer portal. Register your store domain and add https://yourstore.com/customer/social/login as a return URL.","Erstellen Sie eine Service ID im Apple Developer Portal. Registrieren Sie Ihre Shop-Domain und fügen Sie https://yourstore.com/customer/social/login als Retour-URL hinzu."
"Creating new accounts with social sign-in is not allowed. Please register first.","Das Erstellen neuer Konten mit sozialer Anmeldung ist nicht zulässig. Bitte registrieren Sie sich zuerst."
"Customer Connected Accounts","Kunden verbundene Konten"
"Customers sign in with the Google Identity Services button. Create an OAuth client ID in the Google Cloud Console and add your store origin to the authorized JavaScript origins.","Kunden melden sich mit der Google Identity Services Schaltfläche an. Erstellen Sie eine OAuth-Client-ID in der Google Cloud-Konsole und fügen Sie Ihren Shop-Ursprung zu den autorisierten JavaScript-Quellen hinzu."
"Email","E-Mail"
"Enable Facebook Login","Facebook Login aktivieren"
"Enable Google One Tap","Google One Tap aktivieren"
"Enable Google Sign-In","Google Anmeldung aktivieren"
"Enable Sign in with Apple","Anmeldung mit Apple aktivieren"
"Facebook App ID","Facebook-App ID"
"Facebook App Secret","Facebook App Geheimnis"
"Failed Attempts Allowed per IP per Hour","Fehlgeschlagene Versuche pro Stunde erlaubt"
"Google Client ID","Google-Client-ID"
"How long an issued sign-in nonce stays valid. Values below 60 seconds are raised to 60.","Wie lange eine ausgestellte Anmeldung gültig bleibt. Werte unter 60 Sekunden werden auf 60 erhöht."
"How many failed social sign-in attempts one IP address can make per hour. Set 0 to disable the limit.","Anzahl fehlgeschlagener sozialer Anmeldeversuche pro Stunde. Legen Sie 0 ein, um das Limit zu deaktivieren."
"Invalid authentication token.","Ungültiger Authentifizierungstoken."
"Invalid form key. Please refresh the page and try again.","Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite und versuchen Sie es erneut."
"Linked Sign-In Providers","Verknüpfte Anmeldeanbieter"
"or","oder"
"Please complete the required fields of your profile.","Bitte füllen Sie die erforderlichen Felder Ihres Profils aus."
"Provider","Anbieter"
"Provider Email","Anbieter-E-Mail"
"Shows the One Tap prompt to returning Google users on the login and register pages.","Zeigt die Ein-Tipp-Eingabeaufforderung, um Google-Nutzer auf den Anmelde- und Registrierungsseiten zurückzugeben."
"Sign-in failed. Please try again later.","Anmeldung fehlgeschlagen. Bitte versuchen Sie es später erneut."
"Sign-In Nonce Lifetime (Seconds)","Einloggen Nonce Lebenszeit (Sekunden)"
"Sign-in verification is temporarily unavailable. Please try again later.","Anmeldebestätigung ist vorübergehend nicht verfügbar. Bitte versuchen Sie es später erneut."
"Social Login","Soziale Anmeldung"
"The linked customer account no longer exists.","Das verknüpfte Kundenkonto existiert nicht mehr."
"The sign-in provider could not be unlinked.","Der Anmeldeanbieter konnte nicht getrennt werden."
"The sign-in provider has been unlinked.","Der Anmeldeanbieter wurde getrennt."
"This account is not active.","Dieses Konto ist nicht aktiv."
"This customer has no linked sign-in providers.","Dieser Kunde hat keine verlinkten Anmeldeanbieter."
"This sign-in method is not available.","Diese Anmeldemethode ist nicht verfügbar."
"Too many attempts. Please try again later.","Zu viele Versuche. Bitte versuchen Sie es später erneut."
"Unknown sign-in provider.","Unbekannter Anmeldeanbieter."
"Unlink","Link aufheben"
"When disabled, only customers with an existing account can sign in with a social provider.","Wenn deaktiviert, können sich nur Kunden mit einem bestehenden Konto mit einem sozialen Provider anmelden."
"You can sign in with these connected providers.","Sie können sich mit diesen verbundenen Anbietern anmelden."
"You have no connected sign-in providers.","Sie haben keine verbundenen Anmeldeanbieter."
"Your account has been created.","Ihr Konto wurde erstellt."
"Your sign-in attempt has expired. Please try again.","Ihr Anmeldeversuch ist abgelaufen. Bitte versuchen Sie es erneut."
