"and %s more posts","και %s περισσότερες δημοσιεύσεις"
"and %s more products, listed in the XML sitemap","και %s περισσότερα προϊόντα, που αναφέρονται στο XML sitemap"
"Attribute","Χαρακτηριστικό"
"Availability","Διαθεσιμότητα"
"Backorder","Πίσω"
"Blog","Ιστολόγιο"
"Brand","Μάρκα"
"Cache Lifetime (seconds)","Διάρκεια Ζωής Προσωρινής Αποθήκευσης (δευτερόλεπτα)"
"Description","Περιγραφή"
"Enabled","Ενεργοποιημένο"
"from %s to %s","από %s σε %s"
"Image","Εικόνα"
"Images","Εικόνες"
"In stock","Σε απόθεμα"
"Limited availability","Περιορισμένη διαθεσιμότητα"
"Markdown for AI agents","Markdown για πράκτορες τεχνητής νοημοσύνης"
"Not Found","Δεν Βρέθηκε"
"One route prefix per line, as module/controller/action. Only these pages get a markdown version. A route needs a renderer declared under global/contentnegotiation/renderers in a config.xml.","Ένα πρόθεμα διαδρομής ανά γραμμή, ως ενότητα/ελεγκτή/ενέργεια. Μόνο αυτές οι σελίδες λαμβάνουν μια έκδοση markdown. Μια διαδρομή χρειάζεται έναν συσκευή αναπαραγωγής που έχει δηλωθεί στο πλαίσιο του καθολικού/contentnegotiation/renderers σε ένα config.xml."
"Options","Επιλογές"
"Out of stock","Χωρίς απόθεμα"
"Price","Τιμή"
"Product","Προϊόν"
"Products","Προϊόντα"
"Published","Δημοσιεύθηκε"
"regular price %s","κανονική τιμή %s"
"Routes","Διαδρομές"
"Serves a markdown version of a page when the request sends <code>Accept: text/markdown</code> or when the URL ends with <code>.md</code>. Browsers keep the HTML page. HTML pages announce the markdown version with a <code>Link</code> header.","Serves a markdown version of a page when the request sends <code>Accept: text/markdown</code> or when the URL ends with <code>. d</code>. Περιηγητές κρατούν τη σελίδα HTML. Οι σελίδες HTML ανακοινώνουν την έκδοση markdown με μια κεφαλίδα <code>Link</code>."
"Specifications","Προδιαγραφές"
"Subcategories","Υποκατηγορίες"
"The markdown is cached with the Blocks HTML output cache. A product, category, page or post save clears its entry. 0 disables the cache.","Το markdown αποθηκεύεται προσωρινά με την προσωρινή μνήμη εξόδου HTML Μπλοκάρων. Ένα προϊόν, κατηγορία, σελίδα ή ανάρτηση αποθηκεύει καθαρίζει την καταχώρησή του. 0 απενεργοποιεί την προσωρινή μνήμη."
"There are no posts yet.","Δεν υπάρχουν αναρτήσεις ακόμα."
"There are no products in this category.","Δεν υπάρχουν προϊόντα σε αυτή την κατηγορία."
"This page has no markdown version.","Αυτή η σελίδα δεν έχει έκδοση markdown."
"Value","Τιμή"
