"(not processed yet)","(bearbetas inte ännu)"
"0 disables the limit.","0 inaktiverar gränsen."
"<strong>Enabling this alone does not display the button.</strong> The law requires the revocation button to stay permanently visible during the withdrawal period, but only your theme knows where that is. After enabling, you must place the <strong>Revocation Button</strong> widget in a block shown on every storefront page (typically the footer). Until you do, the form exists at <em>/revocation</em> but nothing links to it.","<strong>Aktivering av enbart detta visar inte knappen.</strong> Lagen kräver att du återkallar knappen för att vara permanent synlig under ångerfristen, men endast ditt tema vet var det är. Efter aktivering måste du placera widgeten <strong>för annulleringsknappen</strong> i ett block som visas på varje sida för butiksframsidan (vanligtvis sidfoten). Innan du gör det finns formuläret på <em>/ återkallande</em> men inget länkar till det."
"Abuse Protection","Skydd för missbruk"
"Accepted","Accepterad"
"Accepting or rejecting only records the decision and adds a note to this order. The order status, state, and any refund are left unchanged.","Acceptera eller avvisa endast registrerar beslutet och lägger till en anteckning till denna beställning. Orderstatus, stat, och eventuell återbetalning lämnas oförändrad."
"Accept Revocation","Godkänn annullering"
"Accept this revocation? This records the decision and adds a note to the matched order. No order status or refund changes automatically.","Acceptera denna återkallelse? Detta registrerar beslutet och lägger till en anteckning till den matchade ordern. Ingen orderstatus eller återbetalning ändras automatiskt."
"A confirmation email is on its way to you.","Ett bekräftelsemail är på väg till dig."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Lägger till ett osynligt fälla fält. Inlämningar som fyller det tyst tappas som bot trafik."
"Back","Tillbaka"
"Button Label","Etikett för knapp"
"Cooling-Off Period (Days)","Nedkylningsperiod (dagar)"
"create a credit memo","skapa en kreditnota"
"CSV","CSV"
"Customer Name","Kundens namn"
"Customer Receipt Template","Mall för kundkvitto"
"Customer submitted revocation request #%s via their account.","Kunden skickade in begäran om återkallelse #%s via sitt konto."
"Custom Label","Anpassad etikett"
"Declaration (read-only legal record)","Deklaration (skrivskyddad juridisk post)"
"Email","E-post"
"Email Sender","E-post avsändare"
"Email Settings","E-post inställningar"
"Email Suppressed","E-post undertryckt"
"Enabled","Aktiverad"
"EU Directive 2023/2673 (in Germany: &sect;356a BGB) requires B2C shops selling into the EU to provide a revocation button from 19 June 2026. This module provides that channel.","EU-direktiv 2023/2673 (i Tyskland: &sect;356a BGB) kräver att B2C-butiker som säljs in i EU tillhandahåller en återkallningsknapp från och med den 19 juni 2026. Denna modul ger den kanalen."
