"-- None --","-- Ingen --"
"Adds aggregateRating (rating value and review count) and individual review nodes (reviewer name and review text) to the product schema when reviews are enabled.","Lägger till aggregatBetygsättning (betygsvärde och antal omdömen) och individuella granskningsnoder (granskarnamn och granskningstext) till produktschemat när recensioner är aktiverade."
"Automatic (from Right of Withdrawal settings)","Automatisk (från höger om uttagsinställningar)"
"Automatic emits a finite return window from the Right of Withdrawal settings when that feature is enabled, and nothing otherwise. Never advertise a policy the store does not honor.","Automatiskt avger en ändlig retur fönster från höger om uttag inställningar när den funktionen är aktiverad, och inget annat. Aldrig annonsera en politik butiken inte heder."
"Brand Attribute","Varumärke attribut"
"Condition Attribute","Skick attribut"
"Countries the return policy applies to. Leave empty to use the merchant country, or the shipping origin country when the merchant country is not set.","Länder som återvändandepolicyn gäller. Lämna tomt för att använda handelslandet, eller sjöfartens ursprungsland när handelslandet inte är inställt."
"Customer Pays Return Shipping","Kund betalar retur frakt"
"Days between order and shipment. Both minimum and maximum are needed to emit handlingTime.","Dagar mellan beställning och leverans. Både minimum och maximum behövs för att avge hanteringstid."
"Days between shipment and delivery. Both minimum and maximum are needed to emit transitTime.","Dagar mellan leverans och leverans. Både minimum och maximum behövs för att släppa ut transiteringstid."
"Do Not Emit","Avge inte"
"Enable Structured Data","Aktivera strukturerade data"
"Finite Return Window","Finit returfönster"
"Flat shipping rate in base currency for the schema.org shippingDetails node. Leave empty to derive the rate from the active Flat Rate and Free Shipping carriers. Destination countries come from the carrier and store shipping country settings.","Fast fraktkostnad i basvaluta för schema.org fraktDetaljer nod. Lämna tomt för att härleda hastigheten från de aktiva schablonbelopp och gratis frakt transportörer. Destinationsländer kommer från transportören och butik frakt land inställningar."
"Free Return","Fri retur"
"GTIN Attribute","GTIN attribut"
"Handling Time Maximum (days)","Maximal hanteringstid (dagar)"
"Handling Time Minimum (days)","Hantering av tid minst (dagar)"
"Include Ratings & Reviews","Inkludera betyg och recensioner"
"Local Business","Lokalt företag"
"MPN Attribute","MPN attribut"
"Online Store","Webbutik"
"Organization","Organisation"
"Organization Type","Typ av organisation"
"Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>.","Utgångar <strong>JSON-LD strukturerade data</strong> enligt schema.org och Googles krav, vilket möjliggör rika resultat för produkter, brödsmulor, organisationsinformation och webbplatssökning. Validera dina sidor med <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>."
"Product attribute holding the Global Trade Item Number (UPC/EAN/ISBN).","Produktattribut som innehar Global Trade Item Number (UPC/EAN/ISBN)."
"Product attribute holding the item condition (new, refurbished, used, damaged). Products without a value are emitted as new.","Produktattribut som innehåller artikelns villkor (nytt, renoverad, används, skadad). Produkter utan värde avges som nya."
"Product attribute holding the Manufacturer Part Number.","Produktattribut som innehåller tillverkarens artikelnummer."
"Product attribute used for the schema.org ""brand"" property.","Produktattribut som används för egenskapen schema.org ""brand""."
"Product Schema","Produktens schema"
"Return at Kiosk","Återvänd vid Kiosk"
"Return by Mail","Retur via e-post"
"Return Countries","Retur länder"
"Return Fees","Retur Avgifter"
"Return in Store","Retur i butik"
"Return Method","Retur metod"
"Return Policy","Returpolicy"
"Return Policy Type","Typ av returpolicy"
"Returns Not Permitted","Returer ej tillåtna"
"Return Window (days)","Returfönster (dagar)"
"Shipping Details","Leveransdetaljer"
"Shipping Rate","Fraktkostnad"
"Structured Data (schema.org)","Strukturerade data (schema.org)"
"Transit Time Maximum (days)","Övergångstid Maximal (dagar)"
"Transit Time Minimum (days)","Minsta överföringstid (dagar)"
"Unlimited Return Window","Obegränsat returfönster"
