"Action","Acțiune"
"Allow New Accounts via Social Sign-In","Permite conturi noi prin Autentificare Socială"
"Apple Service ID","ID serviciu Apple"
"Connected Accounts","Conturi conectate"
"Connected On","Conectat la"
"Continue with Apple","Continuă cu Apple"
"Continue with Facebook","Continuă cu Facebook"
"Create an app in the Meta developer portal, enable Facebook Login for the Web, and add your store domain to the allowed domains.","Creați o aplicație în portalul de dezvoltatori Meta, activați conectarea la Facebook pentru Web și adăugați domeniul magazinului dvs. la domeniile permise."
"Create a Service ID in the Apple Developer portal. Register your store domain and add https://yourstore.com/customer/social/login as a return URL.","Creați un ID de serviciu în portalul Apple Developer. Înregistrați domeniul magazinului dvs. și adăugați https://yourstore.com/customer/social/login ca URL de returnare."
"Creating new accounts with social sign-in is not allowed. Please register first.","Crearea de conturi noi cu autentificare socială nu este permisă. Vă rugăm să vă înregistrați mai întâi."
"Customer Connected Accounts","Conturi conectate la client"
"Customers sign in with the Google Identity Services button. Create an OAuth client ID in the Google Cloud Console and add your store origin to the authorized JavaScript origins.","Clienții se conectează cu butonul Google Identity Services. Creați un ID client OAuth în Consola Google Cloud și adăugați originea magazinului dvs. la originile JavaScript autorizate."
"Email","E-mail"
"Enable Facebook Login","Activează Autentificarea prin Facebook"
"Enable Google One Tap","Activează Google One Tap"
"Enable Google Sign-In","Activare Autentificare Google"
"Enable Sign in with Apple","Activează autentificarea cu Apple"
"Facebook App ID","Facebook App ID"
"Facebook App Secret","Facebook App Secret"
"Failed Attempts Allowed per IP per Hour","Încercări eșuate Permise pe IP pe oră"
"Google Client ID","ID Client Google"
"How long an issued sign-in nonce stays valid. Values below 60 seconds are raised to 60.","Cât timp un semn emis rămâne valabil. Valorile mai mici de 60 secunde sunt ridicate la 60."
"How many failed social sign-in attempts one IP address can make per hour. Set 0 to disable the limit.","Câte încercări de semnare socială eșuate pot crea o adresă IP pe oră. Setați 0 pentru a dezactiva limita."
"Invalid authentication token.","Token de autentificare invalid."
"Invalid form key. Please refresh the page and try again.","Cheie formular nevalidă. Vă rugăm să reîncărcați pagina și să încercați din nou."
"Linked Sign-In Providers","Furnizori de conectare legați"
"or","sau"
"Please complete the required fields of your profile.","Vă rugăm să completați câmpurile obligatorii ale profilului dvs."
"Provider","Furnizor"
"Provider Email","Furnizor de e-mail"
"Shows the One Tap prompt to returning Google users on the login and register pages.","Afișează un singur click prompt pentru a returna utilizatorii Google în paginile de autentificare și de înregistrare."
"Sign-in failed. Please try again later.","Autentificare eșuată. Te rugăm să încerci din nou mai târziu."
"Sign-In Nonce Lifetime (Seconds)","Conectare No Lifetime (secunde)"
"Sign-in verification is temporarily unavailable. Please try again later.","Verificarea conectării este temporar indisponibilă. Te rugăm să încerci din nou mai târziu."
"Social Login","Autentificare Socială"
"The linked customer account no longer exists.","Contul de client asociat nu mai există."
"The sign-in provider could not be unlinked.","Furnizorul de autentificare nu a putut fi deconectat."
"The sign-in provider has been unlinked.","Furnizorul de autentificare a fost deconectat."
"This account is not active.","Acest cont nu este activ."
"This customer has no linked sign-in providers.","Acest client nu are nici un furnizor asociat de autentificare."
"This sign-in method is not available.","Această metodă de autentificare nu este disponibilă."
"Too many attempts. Please try again later.","Prea multe încercări. Vă rugăm să încercaţi din nou mai târziu."
"Unknown sign-in provider.","Furnizor necunoscut de autentificare."
"Unlink","Deconectare"
"When disabled, only customers with an existing account can sign in with a social provider.","Când este dezactivată, numai clienții cu un cont existent se pot conecta cu un furnizor de servicii sociale."
"You can sign in with these connected providers.","Vă puteţi conecta cu aceşti furnizori conectaţi."
"You have no connected sign-in providers.","Nu aveți nici un furnizor de autentificare conectat."
"Your account has been created.","Contul tău a fost creat."
"Your sign-in attempt has expired. Please try again.","Încercarea de conectare a expirat. Vă rugăm să încercaţi din nou."
